Simulation	SoftwareName	JaamSim	-
Simulation	SoftwareVersion	2025-08	-
Simulation	ConfigurationFile	C:\Users\LENOVO\OneDrive\Documents\GitHub\FP PDST\Pemodelan-Simulasi\Activity7\Activity7.cfg	-
Simulation	ScenarioNumber	1.0	-
Simulation	ScenarioIndex	{ 1 }	-
Simulation	ReplicationNumber	1.0	-
Simulation	RunNumber	1.0	-
Simulation	RunIndex	{ 1 }	-
Simulation	PresentTimeAndDate	Nov 12, 2025 14:52	-
Simulation	PresentSimulationTime	0.0	h
Simulation	RunDuration	12.0	h
Simulation	InitializationDuration	0.0	h

this.SimTime/1[h]	this.obj	this.SimTime/1[h] * 3600
0.016666666666666666	PartsArrive_1	60.0
0.1	PartsArrive_2	360.0
0.18333333333333332	PartsArrive_3	660.0
0.26666666666666666	PartsArrive_4	960.0
0.35	PartsArrive_5	1260.0
0.43333333333333335	PartsArrive_6	1560.0
0.5166666666666667	PartsArrive_7	1860.0000000000002
0.6	PartsArrive_8	2160.0
0.6833333333333333	PartsArrive_9	2460.0
0.7666666666666667	PartsArrive_10	2760.0
0.85	PartsArrive_11	3060.0
0.9333333333333333	PartsArrive_12	3360.0
1.0166666666666666	PartsArrive_13	3660.0
1.1	PartsArrive_14	3960.0000000000005
1.1833333333333333	PartsArrive_15	4260.0
1.2666666666666666	PartsArrive_16	4560.0
1.35	PartsArrive_17	4860.0
1.4333333333333333	PartsArrive_18	5160.0
1.5166666666666666	PartsArrive_19	5460.0
1.6	PartsArrive_20	5760.0
1.6833333333333333	PartsArrive_21	6060.0
1.7666666666666666	PartsArrive_22	6360.0
1.85	PartsArrive_23	6660.0
1.9333333333333333	PartsArrive_24	6960.0
2.0166666666666666	PartsArrive_25	7260.0
2.1	PartsArrive_26	7560.0
2.183333333333333	PartsArrive_27	7859.999999999999
2.2666666666666666	PartsArrive_28	8160.0
2.35	PartsArrive_29	8460.0
2.433333333333333	PartsArrive_30	8760.0
2.5166666666666666	PartsArrive_31	9060.0
2.6	PartsArrive_32	9360.0
2.683333333333333	PartsArrive_33	9660.0
2.7666666666666666	PartsArrive_34	9960.0
2.85	PartsArrive_35	10260.0
2.933333333333333	PartsArrive_36	10560.0
3.0166666666666666	PartsArrive_37	10860.0
3.1	PartsArrive_38	11160.0
3.183333333333333	PartsArrive_39	11460.0
3.2666666666666666	PartsArrive_40	11760.0
3.35	PartsArrive_41	12060.0
3.433333333333333	PartsArrive_42	12360.0
3.5166666666666666	PartsArrive_43	12660.0
3.6	PartsArrive_44	12960.0
3.683333333333333	PartsArrive_45	13260.0
3.7666666666666666	PartsArrive_46	13560.0
3.85	PartsArrive_47	13860.0
3.933333333333333	PartsArrive_48	14160.0
4.016666666666667	PartsArrive_49	14460.0
4.1	PartsArrive_50	14759.999999999998
4.183333333333334	PartsArrive_51	15060.0
4.266666666666667	PartsArrive_52	15360.0
4.35	PartsArrive_53	15659.999999999998
4.433333333333334	PartsArrive_54	15960.0
4.516666666666667	PartsArrive_55	16260.0
4.6	PartsArrive_56	16560.0
4.683333333333334	PartsArrive_57	16860.0
4.766666666666667	PartsArrive_58	17160.0
4.85	PartsArrive_59	17460.0
4.933333333333334	PartsArrive_60	17760.0
5.016666666666667	PartsArrive_61	18060.0
5.1	PartsArrive_62	18360.0
5.183333333333334	PartsArrive_63	18660.0
5.266666666666667	PartsArrive_64	18960.0
5.35	PartsArrive_65	19260.0
5.433333333333334	PartsArrive_66	19560.0
5.516666666666667	PartsArrive_67	19860.0
5.6	PartsArrive_68	20160.0
5.683333333333334	PartsArrive_69	20460.0
5.766666666666667	PartsArrive_70	20760.0
5.85	PartsArrive_71	21060.0
5.933333333333334	PartsArrive_72	21360.0
6.016666666666667	PartsArrive_73	21660.0
6.1	PartsArrive_74	21960.0
6.183333333333334	PartsArrive_75	22260.0
6.266666666666667	PartsArrive_76	22560.0
6.35	PartsArrive_77	22860.0
6.433333333333334	PartsArrive_78	23160.0
6.516666666666667	PartsArrive_79	23460.0
6.6	PartsArrive_80	23760.0
6.683333333333334	PartsArrive_81	24060.0
6.766666666666667	PartsArrive_82	24360.0
6.85	PartsArrive_83	24660.0
6.933333333333334	PartsArrive_84	24960.0
7.016666666666667	PartsArrive_85	25260.0
7.1	PartsArrive_86	25560.0
7.183333333333334	PartsArrive_87	25860.0
7.266666666666667	PartsArrive_88	26160.0
7.35	PartsArrive_89	26460.0
7.433333333333334	PartsArrive_90	26760.0
7.516666666666667	PartsArrive_91	27060.0
7.6	PartsArrive_92	27360.0
7.683333333333334	PartsArrive_93	27660.0
7.766666666666667	PartsArrive_94	27960.0
7.85	PartsArrive_95	28260.0
7.933333333333334	PartsArrive_96	28560.0
8.016666666666667	PartsArrive_97	28860.000000000004
8.1	PartsArrive_98	29160.0
8.183333333333334	PartsArrive_99	29460.0
8.266666666666667	PartsArrive_100	29760.000000000004
8.35	PartsArrive_101	30060.0
8.433333333333334	PartsArrive_102	30360.0
8.516666666666667	PartsArrive_103	30660.000000000004
8.6	PartsArrive_104	30960.0
8.683333333333334	PartsArrive_105	31260.0
8.766666666666667	PartsArrive_106	31560.000000000004
8.85	PartsArrive_107	31860.0
8.933333333333334	PartsArrive_108	32160.0
9.016666666666667	PartsArrive_109	32460.000000000004
9.1	PartsArrive_110	32760.0
9.183333333333334	PartsArrive_111	33060.0
9.266666666666667	PartsArrive_112	33360.0
9.35	PartsArrive_113	33660.0
9.433333333333334	PartsArrive_114	33960.0
9.516666666666667	PartsArrive_115	34260.0
9.6	PartsArrive_116	34560.0
9.683333333333334	PartsArrive_117	34860.0
9.766666666666667	PartsArrive_118	35160.0
9.85	PartsArrive_119	35460.0
9.933333333333334	PartsArrive_120	35760.0
10.016666666666667	PartsArrive_121	36060.0
10.1	PartsArrive_122	36360.0
10.183333333333334	PartsArrive_123	36660.0
10.266666666666667	PartsArrive_124	36960.0
10.35	PartsArrive_125	37260.0
10.433333333333334	PartsArrive_126	37560.0
10.516666666666667	PartsArrive_127	37860.0
10.6	PartsArrive_128	38160.0
10.683333333333334	PartsArrive_129	38460.0
10.766666666666667	PartsArrive_130	38760.0
10.85	PartsArrive_131	39060.0
10.933333333333334	PartsArrive_132	39360.0
11.016666666666667	PartsArrive_133	39660.0
11.1	PartsArrive_134	39960.0
11.183333333333334	PartsArrive_135	40260.0
11.266666666666667	PartsArrive_136	40560.0
11.35	PartsArrive_137	40860.0
11.433333333333334	PartsArrive_138	41160.0
11.516666666666667	PartsArrive_139	41460.0
11.6	PartsArrive_140	41760.0
11.683333333333334	PartsArrive_141	42060.0
11.766666666666667	PartsArrive_142	42360.0
11.85	PartsArrive_143	42660.0
11.933333333333334	PartsArrive_144	42960.0
